prefix,URI,Title,Languages,VersionName,VersionDate,Link,Folder
cro,http://rhizomik.net/ontologies/copyrightonto.owl,Copyright Ontology, en ,v2019.0902,2019-09-02,https://lov.linkeddata.es/dataset/lov/vocabs/cro/versions/2019-09-02.n3,LOV_Full
crsw,http://courseware.rkbexplorer.com/ontologies/courseware,ReSIST Courseware Ontology, en ,v0.1,2006-05-03,https://lov.linkeddata.es/dataset/lov/vocabs/crsw/versions/2006-05-03.n3,LOV_Full
cs,http://purl.org/vocab/changeset/schema,Changeset, en ,v2009-05-18,2009-05-18,https://lov.linkeddata.es/dataset/lov/vocabs/cs/versions/2009-05-18.n3,LOV_Full
csp,http://vocab.deri.ie/csp,Constraint Satisfaction Problems Vocabulary, ,v2011-06-29,2011-06-29,https://lov.linkeddata.es/dataset/lov/vocabs/csp/versions/2011-06-29.n3,LOV_Full
csvw,http://www.w3.org/ns/csvw#,CSV on the Web Vocabulary, en ,v2015-12-17,2015-12-17,https://lov.linkeddata.es/dataset/lov/vocabs/csvw/versions/2015-12-17.n3,LOV_Full
ct,http://www.tele.pw.edu.pl/~sims-onto/ConnectivityType.owl,Connectivity types, ,v1.4,2007-08-23,https://lov.linkeddata.es/dataset/lov/vocabs/ct/versions/2007-08-23.n3,LOV_Full
ctag,http://commontag.org/ns#,Common Tag Vocabulary, en ,v2009-06-08,2009-06-08,https://lov.linkeddata.es/dataset/lov/vocabs/ctag/versions/2009-06-08.n3,LOV_Full
ctlog,https://w3id.org/arco/ontology/catalogue,Catalogue Ontology (ArCo network), en it ,v2019-10-23,2019-10-23,https://lov.linkeddata.es/dataset/lov/vocabs/ctlog/versions/2019-10-23.n3,LOV_Full
cto,https://w3id.org/cto,CTO: Construction Tasks Ontology, en ,v2021-02-26,2021-02-26,https://lov.linkeddata.es/dataset/lov/vocabs/cto/versions/2021-02-26.n3,LOV_Full
ctorg,http://purl.org/ctic/infraestructuras/organizacion,Vocabulario de la estructura de organismos públicos, en es ,v2013-04-24,2013-04-24,https://lov.linkeddata.es/dataset/lov/vocabs/ctorg/versions/2013-04-24.n3,LOV_Full
ctrl,https://w3id.org/ibp/CTRLont,CTRLont - An ontology to formally specify the control domain, en ,v0.3.0,2019-04-29,https://lov.linkeddata.es/dataset/lov/vocabs/ctrl/versions/2019-04-29.n3,LOV_Full
ctxdesc,http://www.demcare.eu/ontologies/contextdescriptor.owl,Context Descriptor Pattern, en ,v1.0,2015-09-17,https://lov.linkeddata.es/dataset/lov/vocabs/ctxdesc/versions/2015-09-17.n3,LOV_Full
cwmo,http://purl.org/cwmo/#,Creative Workshop Management Ontology (CWMO), en fr ,v2017-02-16,2017-02-16,https://lov.linkeddata.es/dataset/lov/vocabs/cwmo/versions/2017-02-16.n3,LOV_Full
cwork,http://www.bbc.co.uk/ontologies/creativework,Creative Work Ontology, en ,v1.11,2016-02-01,https://lov.linkeddata.es/dataset/lov/vocabs/cwork/versions/2016-02-01.n3,LOV_Full
cwrc,http://sparql.cwrc.ca/ontologies/cwrc,L'Ontologie CWRC, de en es fr nl zh ,v0.99.80,2018-09-30,https://lov.linkeddata.es/dataset/lov/vocabs/cwrc/versions/2018-09-30.n3,LOV_Full
d2rq,http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1,D2RQ - Language Specification, ,v0.8,2012-03-12,https://lov.linkeddata.es/dataset/lov/vocabs/d2rq/versions/2012-03-12.n3,LOV_Full
dady,http://vocab.deri.ie/dady,Dataset Dynamics (dady) vocabulary, ,v2010-01-27,2010-01-27,https://lov.linkeddata.es/dataset/lov/vocabs/dady/versions/2010-01-27.n3,LOV_Full
daia,http://purl.org/ontology/daia,Document Availability Information Ontology, en ,v2011-12-15,2011-12-15,https://lov.linkeddata.es/dataset/lov/vocabs/daia/versions/2011-12-15.n3,LOV_Full
daq,http://purl.org/eis/vocab/daq#,Dataset Quality Vocabulary, ,v2015.0401,2015-04-01,https://lov.linkeddata.es/dataset/lov/vocabs/daq/versions/2015-04-01.n3,LOV_Full
dataid,http://dataid.dbpedia.org/ns/core#,DataID, en ,v2.0,2016-09-14,https://lov.linkeddata.es/dataset/lov/vocabs/dataid/versions/2016-09-14.n3,LOV_Full
date,http://contextus.net/ontology/ontomedia/misc/date#,OntoMedia Date Part Representation, en ,v0.21,2005-05-11,https://lov.linkeddata.es/dataset/lov/vocabs/date/versions/2005-05-11.n3,LOV_Full
datex,http://vocab.datex.org/terms#,Linked Datex II, en ,v2016-06-13,2016-06-13,https://lov.linkeddata.es/dataset/lov/vocabs/datex/versions/2016-06-13.n3,LOV_Full
dave,http://theme-e.adaptcentre.ie/dave/dave.ttl,Data Value Vocabulary (DaVe), en ,v2017-11-30,2017-11-30,https://lov.linkeddata.es/dataset/lov/vocabs/dave/versions/2017-11-30.n3,LOV_Full
dba,https://w3id.org/dba/ontology/,Description Banking Archives Ontology, en it ,v2022-01-05,2022-01-05,https://lov.linkeddata.es/dataset/lov/vocabs/dba/versions/2022-01-05.n3,LOV_Full
dbm,http://purl.org/net/dbm/ontology#,DBM Ontology, ,v1.1,2014-09-01,https://lov.linkeddata.es/dataset/lov/vocabs/dbm/versions/2014-09-01.n3,LOV_Full
dbowl,http://ontology.cybershare.utep.edu/dbowl,Relational to Ontology Mapping Primitive, en ,v2.0,2016-03-01,https://lov.linkeddata.es/dataset/lov/vocabs/dbowl/versions/2016-03-01.n3,LOV_Full
dbpedia-owl,http://dbpedia.org/ontology/,The DBpedia Ontology, ar be bg bn ca cs de el en es eu fr ga gl hy it ja ko kr lv nl pl pt ro ru sl sr tr zh ,v4.2-SNAPSHOT,2016-05-21,https://lov.linkeddata.es/dataset/lov/vocabs/dbpedia-owl/versions/2016-05-21.n3,LOV_Full
dbug,http://ontologi.es/doap-bugs#,DOAP Bugs, en ,v2011-02-15,2011-02-15,https://lov.linkeddata.es/dataset/lov/vocabs/dbug/versions/2011-02-15.n3,LOV_Full
dcam,http://purl.org/dc/dcam/,DCMI Abstract Model, en ,v2012-06-14,2012-06-14,https://lov.linkeddata.es/dataset/lov/vocabs/dcam/versions/2012-06-14.n3,LOV_Full
dcat,http://www.w3.org/ns/dcat,Data Catalog Vocabulary, ar cs el en es fr it ja ,v2020.0204,2020-02-04,https://lov.linkeddata.es/dataset/lov/vocabs/dcat/versions/2020-02-04.n3,LOV_Full
dce,http://purl.org/dc/elements/1.1/,Dublin Core Metadata Element Set, en ,v2012-06-14,2012-06-14,https://lov.linkeddata.es/dataset/lov/vocabs/dce/versions/2012-06-14.n3,LOV_Full
